Hotel ID,Review ID,Hotel Name,Address,Review Date,Rating,Review Text,Reviewer Name,Hotel Response
25002,,Rendezvous Hotel Singapore by Far East Hospitality,"9 Bras Basah Road, Singapore, Singapore",,,URL: https://www.booking.com/hotel/sg/rendezvous.html,,
25002,4210254118,N/A,N/A,2023-12-04 17:58:23,N/A,"pros: location was amazing. the hotel is at an mrt station. the area in which it is situated is good and well connected to sentosa or harbour front. staff was helpful. the artsy vibe of the hotel and locality was enriching.
cons: the rooms are cramped including the club room. the bed and bedsheet had bed bugs, my child and i woke up with bites. the bed was small and mattress was uncomfortable. breakfast was outsourced and was arranged in a depressing conference room.",Vineet,1702280487
25002,4210254118,N/A,N/A,2023-12-04 17:58:23,N/A,"pros: location was amazing. the hotel is at an mrt station. the area in which it is situated is good and well connected to sentosa or harbour front. staff was helpful. the artsy vibe of the hotel and locality was enriching.
cons: the rooms are cramped including the club room. the bed and bedsheet had bed bugs, my child and i woke up with bites. the bed was small and mattress was uncomfortable. breakfast was outsourced and was arranged in a depressing conference room.",Vineet,1702280487
1383555,,River City Inn,"33C Hong Kong Street, Clarke Quay, Singapore, Singapore",,,URL: https://www.booking.com/hotel/sg/river-city-inn.html,,
1383555,2702615670,N/A,N/A,2022-12-31 07:41:26,N/A,"pros: location
cons: bed bugs , high floor with no elevators , noisy and loud guests talking and playing mobile games went oblivious to the reception although it's wee hours . it doesn't help with floor below are cheap and dirty hostel from india . dirty pavement and stairwell .",Mimi,No response
1383555,2646796577,N/A,N/A,2022-05-29 17:20:32,N/A,"pros: location and cost.
cons: after 2 days at sleeping at the hostel i found itchy bites all over my body which were consistent with bed bugs. upon telling this to the front desk lady, she was entirely defensive insisting how clean their place. she went as far as saying maybe the bites are from sand particles. she then ended up changing the bed sheets like she was doing me such a favour. the hostel was full so she was unable to offer another bed. through booking i requested a refund for my last night which she rejected. ultimately, i had to pay for my own stay at another facility. i am aware that bed bugs can happen to the best of facilities but it was her approach which was entirely inappropriate and irresponsible. terrible costumer service, i would not recommend this place to anyone.",Gil,1653846317
1383555,2702615670,N/A,N/A,2022-12-31 07:41:26,N/A,"pros: location
cons: bed bugs , high floor with no elevators , noisy and loud guests talking and playing mobile games went oblivious to the reception although it's wee hours . it doesn't help with floor below are cheap and dirty hostel from india . dirty pavement and stairwell .",Mimi,No response
1383555,2646796577,N/A,N/A,2022-05-29 17:20:32,N/A,"pros: location and cost.
cons: after 2 days at sleeping at the hostel i found itchy bites all over my body which were consistent with bed bugs. upon telling this to the front desk lady, she was entirely defensive insisting how clean their place. she went as far as saying maybe the bites are from sand particles. she then ended up changing the bed sheets like she was doing me such a favour. the hostel was full so she was unable to offer another bed. through booking i requested a refund for my last night which she rejected. ultimately, i had to pay for my own stay at another facility. i am aware that bed bugs can happen to the best of facilities but it was her approach which was entirely inappropriate and irresponsible. terrible costumer service, i would not recommend this place to anyone.",Gil,1653846317
1097088,,Champion Hotel,"60 Joo Chiat Road, #01-06, Singapore, Singapore",,,URL: https://www.booking.com/hotel/sg/champion.html,,
1097088,4641851555,N/A,N/A,2023-10-12 03:45:04,N/A,"pros: check in was smooth. the hotel was peaceful. good choice of television programmes. great location.
cons: got bitten while asleep - suspect there may be bed bugs. the bathroom had an unpleasant urine smell - as if someone had urinated on the bathroom wall.",James,No response
